Time;Energy (kWh);Energy night(kWh);Energy day (kWh);"Temperature"
 1.1.2020 0:00;5,210;5,210;;-3,4
 1.1.2020 1:00;4,774;4,774;;-2,5
 1.1.2020 2:00;4,481;4,481;;-4,1
 1.1.2020 3:00;4,110;4,110;;-2,7
 1.1.2020 4:00;1,531;1,531;;-4,5
 1.1.2020 5:00;2,401;2,401;;-6,7
 1.1.2020 6:00;2,318;2,318;;-7,1
 1.1.2020 7:00;1,768;;1,768;-6,2
 1.1.2020 8:00;1,513;;1,513;-6,2
 1.1.2020 9:00;1,540;;1,540;-5,4
 1.1.2020 10:00;3,275;;3,275;-3,7
 1.1.2020 11:00;3,294;;3,294;-4,1
 1.1.2020 12:00;2,039;;2,039;-3,1
 1.1.2020 13:00;1,556;;1,556;-1,9
 1.1.2020 14:00;1,879;;1,879;-1,4
 1.1.2020 15:00;1,407;;1,407;-0,7
 1.1.2020 16:00;1,191;;1,191;0,0
 1.1.2020 17:00;1,731;;1,731;0,2
 1.1.2020 18:00;2,531;;2,531;1,8
 1.1.2020 19:00;1,271;;1,271;2,8
 1.1.2020 20:00;1,028;;1,028;3,2
 1.1.2020 21:00;1,446;;1,446;4,0
 1.1.2020 22:00;2,048;2,048;;4,8
 1.1.2020 23:00;3,908;3,908;;4,9
 2.1.2020 0:00;3,933;3,933;;5,2
 2.1.2020 1:00;3,917;3,917;;5,1
 2.1.2020 2:00;3,869;3,869;;4,5
 2.1.2020 3:00;3,012;3,012;;4,2
 2.1.2020 4:00;0,764;0,764;;4,0
 2.1.2020 5:00;0,800;0,800;;4,6
 2.1.2020 6:00;0,835;0,835;;4,6
 2.1.2020 7:00;0,944;;0,944;4,6
 2.1.2020 8:00;0,936;;0,936;4,7
 2.1.2020 9:00;1,045;;1,045;4,5
 2.1.2020 10:00;0,922;;0,922;4,5
 2.1.2020 11:00;0,961;;0,961;4,6
 2.1.2020 12:00;2,431;;2,431;3,2
 2.1.2020 13:00;1,637;;1,637;3,0
 2.1.2020 14:00;1,379;;1,379;3,5
 2.1.2020 15:00;2,250;;2,250;3,2
 2.1.2020 16:00;1,801;;1,801;3,7
 2.1.2020 17:00;1,788;;1,788;3,6
 2.1.2020 18:00;0,802;;0,802;5,2
 2.1.2020 19:00;0,909;;0,909;4,8
 2.1.2020 20:00;2,037;;2,037;4,5
 2.1.2020 21:00;2,440;;2,440;4,4
 2.1.2020 22:00;4,791;4,791;;4,8
 2.1.2020 23:00;3,953;3,953;;4,6
 3.1.2020 0:00;3,775;3,775;;3,6
 3.1.2020 1:00;3,811;3,811;;3,9
 3.1.2020 2:00;2,351;2,351;;3,9
 3.1.2020 3:00;1,693;1,693;;3,6
 3.1.2020 4:00;1,744;1,744;;3,3
 3.1.2020 5:00;0,817;0,817;;3,4
 3.1.2020 6:00;0,755;0,755;;4,3
 3.1.2020 7:00;1,012;;1,012;4,3
 3.1.2020 8:00;1,438;;1,438;4,2
 3.1.2020 9:00;2,585;;2,585;4,6
 3.1.2020 10:00;1,733;;1,733;4,5
 3.1.2020 11:00;0,918;;0,918;4,8
 3.1.2020 12:00;0,935;;0,935;5,0
 3.1.2020 13:00;1,084;;1,084;4,7
 3.1.2020 14:00;1,835;;1,835;4,3
 3.1.2020 15:00;1,857;;1,857;4,2
 3.1.2020 16:00;1,522;;1,522;4,1
 3.1.2020 17:00;1,549;;1,549;3,9
 3.1.2020 18:00;1,275;;1,275;2,4
 3.1.2020 19:00;1,938;;1,938;1,7
 3.1.2020 20:00;2,526;;2,526;1,3
 3.1.2020 21:00;2,010;;2,010;0,7
 3.1.2020 22:00;1,956;1,956;;0,6
 3.1.2020 23:00;3,582;3,582;;0,5
 4.1.2020 0:00;3,291;3,291;;-0,1
 4.1.2020 1:00;4,000;4,000;;-0,6
 4.1.2020 2:00;4,038;4,038;;-1,9
 4.1.2020 3:00;1,308;1,308;;-1,8
 4.1.2020 4:00;0,763;0,763;;-1,8
 4.1.2020 5:00;0,787;0,787;;-2,0
 4.1.2020 6:00;0,521;0,521;;-1,8
 4.1.2020 7:00;1,102;;1,102;-1,2
 4.1.2020 8:00;1,828;;1,828;-1,3
 4.1.2020 9:00;1,172;;1,172;-1,4
 4.1.2020 10:00;0,749;;0,749;-1,7
 4.1.2020 11:00;1,837;;1,837;-1,6
 4.1.2020 12:00;2,631;;2,631;-1,9
 4.1.2020 13:00;4,186;;4,186;-2,6
 4.1.2020 14:00;2,325;;2,325;-3,8
 4.1.2020 15:00;1,501;;1,501;-4,5
 4.1.2020 16:00;1,184;;1,184;-4,0
 4.1.2020 17:00;1,263;;1,263;-3,3
 4.1.2020 18:00;2,137;;2,137;-1,7
 4.1.2020 19:00;2,716;;2,716;-1,5
 4.1.2020 20:00;4,255;;4,255;-2,5
 4.1.2020 21:00;1,753;;1,753;-3,5
 4.1.2020 22:00;1,740;1,740;;-2,9
 4.1.2020 23:00;5,077;5,077;;-2,2
 5.1.2020 0:00;5,316;5,316;;-2,7
 5.1.2020 1:00;5,092;5,092;;-3,7
 5.1.2020 2:00;1,853;1,853;;-4,8
 5.1.2020 3:00;1,300;1,300;;-5,7
 5.1.2020 4:00;1,310;1,310;;-6,0
 5.1.2020 5:00;2,296;2,296;;-8,4
 5.1.2020 6:00;2,298;2,298;;-10,0
 5.1.2020 7:00;2,325;;2,325;-11,2
 5.1.2020 8:00;3,020;;3,020;-10,8
 5.1.2020 9:00;2,447;;2,447;-10,4
 5.1.2020 10:00;2,897;;2,897;-10,2
 5.1.2020 11:00;3,302;;3,302;-9,9
 5.1.2020 12:00;3,877;;3,877;-9,0
 5.1.2020 13:00;2,750;;2,750;-8,8
 5.1.2020 14:00;1,993;;1,993;-7,8
 5.1.2020 15:00;3,170;;3,170;-6,3
 5.1.2020 16:00;3,563;;3,563;-7,0
 5.1.2020 17:00;2,520;;2,520;-7,0
 5.1.2020 18:00;2,397;;2,397;-6,0
 5.1.2020 19:00;2,321;;2,321;-5,4
 5.1.2020 20:00;2,262;;2,262;-5,2
 5.1.2020 21:00;1,514;;1,514;-5,0
 5.1.2020 22:00;3,701;3,701;;-4,6
 5.1.2020 23:00;5,784;5,784;;-3,8
 6.1.2020 0:00;5,667;5,667;;-3,2
 6.1.2020 1:00;5,171;5,171;;-3,0
 6.1.2020 2:00;1,642;1,642;;-2,7
 6.1.2020 3:00;1,544;1,544;;-2,2
 6.1.2020 4:00;2,152;2,152;;-1,9
 6.1.2020 5:00;2,364;2,364;;-1,4
 6.1.2020 6:00;2,186;2,186;;-0,7
 6.1.2020 7:00;1,968;;1,968;0,0
 6.1.2020 8:00;1,165;;1,165;0,0
 6.1.2020 9:00;1,687;;1,687;0,2
 6.1.2020 10:00;2,938;;2,938;0,3
 6.1.2020 11:00;3,487;;3,487;0,3
 6.1.2020 12:00;3,628;;3,628;0,4
 6.1.2020 13:00;1,830;;1,830;-0,7
 6.1.2020 14:00;1,671;;1,671;-1,6
 6.1.2020 15:00;2,297;;2,297;-1,5
 6.1.2020 16:00;2,598;;2,598;-1,0
 6.1.2020 17:00;2,673;;2,673;-0,9
 6.1.2020 18:00;2,988;;2,988;-1,6
 6.1.2020 19:00;1,536;;1,536;-1,7
 6.1.2020 20:00;1,638;;1,638;-1,2
 6.1.2020 21:00;1,438;;1,438;-0,7
 6.1.2020 22:00;3,384;3,384;;0,4
 6.1.2020 23:00;4,760;4,760;;0,6
 7.1.2020 0:00;5,019;5,019;;0,8
 7.1.2020 1:00;4,361;4,361;;0,7
 7.1.2020 2:00;4,093;4,093;;0,8
 7.1.2020 3:00;3,117;3,117;;0,7
 7.1.2020 4:00;1,016;1,016;;0,8
 7.1.2020 5:00;1,751;1,751;;0,9
 7.1.2020 6:00;2,943;2,943;;1,0
 7.1.2020 7:00;2,545;;2,545;0,9
 7.1.2020 8:00;0,992;;0,992;1,0
 7.1.2020 9:00;1,038;;1,038;1,0
 7.1.2020 10:00;1,062;;1,062;1,4
 7.1.2020 11:00;1,980;;1,980;1,4
 7.1.2020 12:00;1,916;;1,916;1,7
 7.1.2020 13:00;0,984;;0,984;2,2
 7.1.2020 14:00;0,958;;0,958;2,4
 7.1.2020 15:00;0,922;;0,922;3,3
 7.1.2020 16:00;1,283;;1,283;2,9
 7.1.2020 17:00;2,350;;2,350;2,1
 7.1.2020 18:00;2,891;;2,891;1,5
 7.1.2020 19:00;2,943;;2,943;1,4
 7.1.2020 20:00;1,086;;1,086;1,2
 7.1.2020 21:00;1,258;;1,258;1,5
 7.1.2020 22:00;2,901;2,901;;1,3
 7.1.2020 23:00;5,122;5,122;;1,3
 8.1.2020 0:00;4,421;4,421;;1,4
 8.1.2020 1:00;3,882;3,882;;2,2
 8.1.2020 2:00;0,919;0,919;;2,4
 8.1.2020 3:00;0,942;0,942;;2,8
 8.1.2020 4:00;1,452;1,452;;2,8
 8.1.2020 5:00;2,848;2,848;;2,5
 8.1.2020 6:00;5,300;5,300;;2,5
 8.1.2020 7:00;1,080;;1,080;2,4
 8.1.2020 8:00;0,849;;0,849;2,5
 8.1.2020 9:00;0,846;;0,846;2,7
 8.1.2020 10:00;1,039;;1,039;2,5
 8.1.2020 11:00;1,711;;1,711;2,6
 8.1.2020 12:00;1,413;;1,413;2,8
 8.1.2020 13:00;0,753;;0,753;3,7
 8.1.2020 14:00;0,828;;0,828;3,7
 8.1.2020 15:00;1,068;;1,068;3,3
 8.1.2020 16:00;1,441;;1,441;3,4
 8.1.2020 17:00;2,442;;2,442;3,2
 8.1.2020 18:00;2,834;;2,834;3,8
 8.1.2020 19:00;0,769;;0,769;3,3
 8.1.2020 20:00;0,663;;0,663;3,1
 8.1.2020 21:00;1,062;;1,062;3,0
 8.1.2020 22:00;1,605;1,605;;2,8
 8.1.2020 23:00;5,079;5,079;;2,7
 9.1.2020 0:00;5,181;5,181;;2,7
 9.1.2020 1:00;2,466;2,466;;2,9
 9.1.2020 2:00;1,236;1,236;;2,3
 9.1.2020 3:00;1,103;1,103;;2,3
 9.1.2020 4:00;1,248;1,248;;2,1
 9.1.2020 5:00;2,460;2,460;;2,0
 9.1.2020 6:00;3,778;3,778;;2,0
 9.1.2020 7:00;2,816;;2,816;1,6
 9.1.2020 8:00;1,208;;1,208;1,6
 9.1.2020 9:00;1,214;;1,214;2,0
 9.1.2020 10:00;1,199;;1,199;2,6
 9.1.2020 11:00;1,587;;1,587;2,7
 9.1.2020 12:00;2,093;;2,093;2,7
 9.1.2020 13:00;1,795;;1,795;2,3
 9.1.2020 14:00;1,447;;1,447;2,2
 9.1.2020 15:00;1,457;;1,457;1,9
 9.1.2020 16:00;1,945;;1,945;1,9
 9.1.2020 17:00;2,593;;2,593;1,2
 9.1.2020 18:00;2,539;;2,539;1,1
 9.1.2020 19:00;2,709;;2,709;1,4
 9.1.2020 20:00;1,652;;1,652;1,1
 9.1.2020 21:00;2,133;;2,133;1,0
 9.1.2020 22:00;4,552;4,552;;0,5
 9.1.2020 23:00;5,766;5,766;;0,8
 10.1.2020 0:00;5,314;5,314;;0,5
 10.1.2020 1:00;4,092;4,092;;0,9
 10.1.2020 2:00;2,162;2,162;;1,0
 10.1.2020 3:00;0,979;0,979;;0,7
 10.1.2020 4:00;1,491;1,491;;0,2
 10.1.2020 5:00;1,384;1,384;;-1,1
 10.1.2020 6:00;1,886;1,886;;-1,7
 10.1.2020 7:00;1,404;;1,404;-3,4
 10.1.2020 8:00;2,192;;2,192;-2,0
 10.1.2020 9:00;2,200;;2,200;-2,1
 10.1.2020 10:00;2,190;;2,190;-1,2
 10.1.2020 11:00;2,107;;2,107;-1,2
 10.1.2020 12:00;1,872;;1,872;-1,5
 10.1.2020 13:00;1,257;;1,257;-0,9
 10.1.2020 14:00;1,243;;1,243;-1,2
 10.1.2020 15:00;1,678;;1,678;-2,9
 10.1.2020 16:00;3,741;;3,741;-3,4
 10.1.2020 17:00;3,068;;3,068;-4,5
 10.1.2020 18:00;2,423;;2,423;-3,0
 10.1.2020 19:00;1,302;;1,302;-3,2
 10.1.2020 20:00;1,004;;1,004;-2,8
 10.1.2020 21:00;1,352;;1,352;-3,9
 10.1.2020 22:00;3,768;3,768;;-4,7
 10.1.2020 23:00;4,755;4,755;;-4,7
 11.1.2020 0:00;3,916;3,916;;-3,8
 11.1.2020 1:00;2,058;2,058;;-4,6
 11.1.2020 2:00;1,186;1,186;;-3,9
 11.1.2020 3:00;0,957;0,957;;-5,0
 11.1.2020 4:00;1,065;1,065;;-6,4
 11.1.2020 5:00;1,667;1,667;;-6,5
 11.1.2020 6:00;1,882;1,882;;-6,8
 11.1.2020 7:00;1,419;;1,419;-6,0
 11.1.2020 8:00;2,134;;2,134;-5,8
 11.1.2020 9:00;2,232;;2,232;-4,1
 11.1.2020 10:00;1,572;;1,572;-4,2
 11.1.2020 11:00;4,335;;4,335;-3,3
 11.1.2020 12:00;4,060;;4,060;-3,1
 11.1.2020 13:00;1,790;;1,790;-2,8
 11.1.2020 14:00;1,123;;1,123;-2,4
 11.1.2020 15:00;1,105;;1,105;-2,0
 11.1.2020 16:00;1,233;;1,233;-1,2
 11.1.2020 17:00;4,294;;4,294;-0,6
 11.1.2020 18:00;2,644;;2,644;0,1
 11.1.2020 19:00;1,960;;1,960;0,4
 11.1.2020 20:00;1,977;;1,977;0,0
 11.1.2020 21:00;1,376;;1,376;0,1
 11.1.2020 22:00;4,464;4,464;;0,1
 11.1.2020 23:00;5,093;5,093;;0,6
 12.1.2020 0:00;4,216;4,216;;1,5
 12.1.2020 1:00;1,013;1,013;;2,3
 12.1.2020 2:00;0,987;0,987;;2,4
 12.1.2020 3:00;0,948;0,948;;2,7
 12.1.2020 4:00;1,321;1,321;;2,8
 12.1.2020 5:00;1,916;1,916;;2,8
 12.1.2020 6:00;1,715;1,715;;3,5
 12.1.2020 7:00;0,969;;0,969;2,9
 12.1.2020 8:00;1,202;;1,202;2,9
 12.1.2020 9:00;1,276;;1,276;3,3
 12.1.2020 10:00;1,648;;1,648;3,7
 12.1.2020 11:00;2,502;;2,502;3,7
 12.1.2020 12:00;1,794;;1,794;3,2
 12.1.2020 13:00;2,601;;2,601;3,7
 12.1.2020 14:00;1,648;;1,648;2,3
 12.1.2020 15:00;2,355;;2,355;2,0
 12.1.2020 16:00;2,101;;2,101;1,4
 12.1.2020 17:00;2,680;;2,680;1,5
 12.1.2020 18:00;2,677;;2,677;1,6
 12.1.2020 19:00;1,445;;1,445;1,5
 12.1.2020 20:00;1,373;;1,373;0,9
 12.1.2020 21:00;1,468;;1,468;0,4
 12.1.2020 22:00;4,370;4,370;;0,0
 12.1.2020 23:00;4,958;4,958;;0,0
 13.1.2020 0:00;4,006;4,006;;-0,7
 13.1.2020 1:00;3,758;3,758;;-1,3
 13.1.2020 2:00;2,259;2,259;;-1,5
 13.1.2020 3:00;0,845;0,845;;-1,9
 13.1.2020 4:00;1,056;1,056;;-1,9
 13.1.2020 5:00;2,491;2,491;;-2,7
 13.1.2020 6:00;3,768;3,768;;-0,4
 13.1.2020 7:00;1,028;;1,028;-0,6
 13.1.2020 8:00;0,662;;0,662;-1,5
 13.1.2020 9:00;0,770;;0,770;-1,8
 13.1.2020 10:00;0,751;;0,751;-3,0
 13.1.2020 11:00;1,592;;1,592;-2,5
 13.1.2020 12:00;1,267;;1,267;-2,8
 13.1.2020 13:00;1,010;;1,010;-1,9
 13.1.2020 14:00;0,789;;0,789;-2,3
 13.1.2020 15:00;0,827;;0,827;-2,1
 13.1.2020 16:00;1,000;;1,000;-2,8
 13.1.2020 17:00;2,032;;2,032;-1,9
 13.1.2020 18:00;2,483;;2,483;-2,0
 13.1.2020 19:00;1,765;;1,765;1,3
 13.1.2020 20:00;0,971;;0,971;1,0
 13.1.2020 21:00;0,886;;0,886;1,5
 13.1.2020 22:00;1,857;1,857;;0,3
 13.1.2020 23:00;4,685;4,685;;0,3
 14.1.2020 0:00;4,456;4,456;;1,3
 14.1.2020 1:00;3,919;3,919;;1,7
 14.1.2020 2:00;1,064;1,064;;1,8
 14.1.2020 3:00;0,515;0,515;;1,6
 14.1.2020 4:00;1,570;1,570;;1,2
 14.1.2020 5:00;2,517;2,517;;1,2
 14.1.2020 6:00;2,861;2,861;;1,2
 14.1.2020 7:00;1,811;;1,811;0,7
 14.1.2020 8:00;0,773;;0,773;0,0
 14.1.2020 9:00;0,886;;0,886;-2,0
 14.1.2020 10:00;1,451;;1,451;-0,6
