Time,Price (cent/kWh)
01-01-2021 00:00:00,3.094
01-01-2021 01:00:00,3.019
01-01-2021 02:00:00,2.974
01-01-2021 03:00:00,2.941
01-01-2021 04:00:00,2.943
01-01-2021 05:00:00,2.983
01-01-2021 06:00:00,3.031
01-01-2021 07:00:00,3.091
01-01-2021 08:00:00,3.088
01-01-2021 09:00:00,3.109
01-01-2021 10:00:00,3.178
01-01-2021 11:00:00,3.214
01-01-2021 12:00:00,3.24
01-01-2021 13:00:00,3.295
01-01-2021 14:00:00,3.385
01-01-2021 15:00:00,3.548
01-01-2021 16:00:00,3.751
01-01-2021 17:00:00,3.744
01-01-2021 18:00:00,3.574
01-01-2021 19:00:00,3.503
01-01-2021 20:00:00,3.388
01-01-2021 21:00:00,3.503
01-01-2021 22:00:00,3.349
01-01-2021 23:00:00,3.179
02-01-2021 00:00:00,3.173
02-01-2021 01:00:00,3.089
02-01-2021 02:00:00,3.068
02-01-2021 03:00:00,3.058
02-01-2021 04:00:00,3.065
02-01-2021 05:00:00,3.09
02-01-2021 06:00:00,3.177
02-01-2021 07:00:00,3.248
02-01-2021 08:00:00,3.474
02-01-2021 09:00:00,3.429
02-01-2021 10:00:00,3.575
02-01-2021 11:00:00,3.69
02-01-2021 12:00:00,3.549
02-01-2021 13:00:00,3.561
02-01-2021 14:00:00,4.555
02-01-2021 15:00:00,5.71
02-01-2021 16:00:00,7.301
02-01-2021 17:00:00,7.503
02-01-2021 18:00:00,7.42
02-01-2021 19:00:00,4.979
02-01-2021 20:00:00,3.395
02-01-2021 21:00:00,3.863
02-01-2021 22:00:00,3.461
02-01-2021 23:00:00,3.217
03-01-2021 00:00:00,3.133
03-01-2021 01:00:00,3.049
03-01-2021 02:00:00,2.959
03-01-2021 03:00:00,2.923
03-01-2021 04:00:00,2.913
03-01-2021 05:00:00,2.957
03-01-2021 06:00:00,2.982
03-01-2021 07:00:00,3.075
03-01-2021 08:00:00,3.096
03-01-2021 09:00:00,3.181
03-01-2021 10:00:00,3.224
03-01-2021 11:00:00,3.233
03-01-2021 12:00:00,3.208
03-01-2021 13:00:00,3.203
03-01-2021 14:00:00,3.226
03-01-2021 15:00:00,3.286
03-01-2021 16:00:00,3.478
03-01-2021 17:00:00,3.538
